codigo,final
20230001,6
20230002,15
20230003,1
20230004,6
20230005,6
20230006,18
20230007,15
20230008,9
20230009,8
20230010,20
20230011,3
20230012,14
20230013,7
20230014,12
20230015,19
20230016,13
20230017,9
20230018,9
20230019,6
20230020,19
20230021,6
20230022,7
20230023,2
20230024,14
20230025,17
20230026,2
20230027,14
20230028,14
20230029,19
20230030,19
20230031,9
20230032,5
20230033,9
20230034,18
20230035,13
20230036,15
20230037,9
20230038,2
20230039,10
20230040,7
20230041,0
20230042,4
20230043,13
20230044,18
20230045,14
20230046,6
20230047,9
20230048,5
20230049,3
20230050,2
20230051,15
20230052,7
20230053,2
20230054,5
20230055,8
20230056,11
20230057,6
20230058,0
20230059,4
20230060,4
20230061,7
20230062,12
20230063,6
20230064,1
20230065,10
20230066,13
20230067,18
20230068,0
20230069,1
20230070,15
20230071,7
20230072,16
20230073,2
20230074,16
20230075,4
20230076,15
20230077,14
20230078,14
20230079,2
20230080,20
20230081,14
20230082,2
20230083,8
20230084,13
20230085,1
20230086,9
20230087,18
20230088,19
20230089,15
20230090,8
20230091,11
20230092,2
20230093,14
20230094,15
20230095,1
20230096,17
20230097,2
20230098,7
20230099,7
20230100,7
20230101,12
20230102,3
20230103,3
20230104,0
20230105,8
20230106,4
20230107,19
20230108,19
20230109,6
20230110,3
20230111,19
20230112,13
20230113,12
20230114,5
20230115,19
20230116,18
20230117,10
20230118,11
20230119,14
20230120,1
20230121,16
20230122,10
20230123,10
20230124,12
20230125,9
20230126,15
20230127,11
20230128,13
20230129,18
20230130,3
20230131,4
20230132,18
20230133,9
20230134,9
20230135,19
20230136,20
20230137,5
20230138,5
20230139,2
20230140,11
20230141,20
20230142,2
20230143,18
20230144,14
20230145,9
20230146,11
20230147,14
20230148,18
20230149,3
20230150,5
20230151,12
20230152,13
20230153,7
20230154,5
20230155,9
20230156,5
20230157,3
20230158,14
20230159,16
20230160,8
20230161,0
20230162,19
20230163,12
20230164,4
20230165,3
20230166,20
20230167,0
20230168,19
20230169,2
20230170,16
20230171,5
20230172,5
20230173,17
20230174,5
20230175,7
20230176,5
20230177,17
20230178,12
20230179,15
20230180,11
20230181,3
20230182,1
20230183,3
20230184,7
20230185,13
20230186,6
20230187,5
20230188,14
20230189,18
20230190,11
20230191,3
20230192,10
20230193,14
20230194,0
20230195,11
20230196,13
20230197,8
20230198,10
20230199,11
20230200,17
