codigo,lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,lab_7,lab_8,lab_9,lab_10,lab_11,lab_12,lab_13,lab_14
20230001,15,15,11,16,10,18,20,14,1,4,2,15,3,7
20230002,1,0,11,11,17,1,3,3,3,6,19,18,9,17
20230003,12,16,12,5,11,5,8,1,15,5,12,0,9,3
20230004,17,12,4,8,14,0,10,6,1,4,19,6,17,1
20230005,13,20,7,17,2,5,13,10,1,1,10,16,11,11
20230006,3,16,7,18,6,1,0,5,8,14,5,3,5,20
20230007,1,17,9,19,18,6,6,13,9,13,15,0,5,17
20230008,5,0,10,17,2,10,10,0,12,3,11,16,12,7
20230009,9,0,8,8,19,15,7,4,7,17,19,14,15,11
20230010,6,12,14,12,3,18,18,15,14,1,17,9,14,0
20230011,6,5,17,12,5,0,8,10,7,11,7,15,15,5
20230012,12,1,14,13,3,18,0,4,13,3,15,20,15,12
20230013,20,11,9,9,4,8,8,2,19,3,16,13,9,4
20230014,11,0,10,2,13,10,6,0,9,2,0,10,13,5
20230015,5,18,11,7,4,7,1,5,16,14,2,20,9,11
20230016,10,17,2,9,16,17,20,17,13,7,1,0,8,3
20230017,14,20,15,17,4,18,5,1,19,19,12,0,12,1
20230018,8,15,15,1,6,11,1,2,18,5,7,14,15,12
20230019,17,1,4,19,19,16,3,5,7,20,9,11,6,19
20230020,16,19,9,6,10,17,3,3,14,2,12,15,15,0
20230021,4,20,18,14,12,16,5,1,20,18,5,2,18,11
20230022,8,10,20,0,1,11,12,1,4,18,13,2,6,0
20230023,10,16,0,7,0,4,9,14,13,18,7,0,2,8
20230024,9,19,4,16,1,9,12,11,5,20,8,6,19,6
20230025,2,16,6,20,8,17,7,2,6,0,5,14,11,11
20230026,0,13,8,11,3,17,12,2,10,7,6,6,15,3
20230027,19,15,18,4,5,6,19,6,20,7,5,16,3,8
20230028,1,7,4,14,12,14,7,14,12,1,7,6,13,12
20230029,14,2,17,13,0,8,7,20,1,3,10,0,18,4
20230030,7,10,15,2,15,11,5,12,7,7,5,18,9,18
20230031,5,0,16,16,6,15,3,10,17,13,13,20,6,15
20230032,0,19,15,15,18,1,15,17,18,16,1,19,1,17
20230033,0,6,16,1,13,7,8,5,18,6,20,13,13,4
20230034,13,4,17,9,14,7,13,5,14,19,20,13,3,14
20230035,14,20,9,16,1,9,19,18,4,14,12,9,7,6
20230036,15,7,1,18,16,11,20,20,16,12,13,20,20,12
20230037,14,1,2,1,4,17,10,19,19,19,5,19,8,10
20230038,2,18,10,4,0,11,17,19,7,18,7,20,8,20
20230039,6,18,19,8,19,19,3,1,10,16,0,9,11,9
20230040,20,12,17,10,11,14,20,4,19,12,12,6,17,8
20230041,8,17,16,20,14,11,17,8,18,12,19,12,0,4
20230042,13,17,4,2,15,2,11,11,10,9,3,16,16,16
20230043,13,11,0,9,20,7,4,10,20,17,18,7,20,5
20230044,18,9,5,14,4,12,0,5,6,10,13,1,8,6
20230045,5,15,14,13,14,15,5,4,10,12,3,18,18,11
20230046,3,2,9,2,18,16,19,5,0,18,19,4,2,15
20230047,3,6,9,4,17,6,2,2,16,11,18,5,15,19
20230048,1,5,6,0,11,7,6,11,13,18,16,16,1,3
20230049,10,17,11,6,5,11,6,0,18,19,17,0,2,11
20230050,6,0,17,3,13,0,11,6,18,20,4,1,15,11
20230051,20,4,18,9,0,17,2,15,19,10,4,9,4,15
20230052,6,0,20,8,6,1,3,11,6,17,16,4,13,3
20230053,14,6,1,15,11,15,0,5,0,5,5,0,11,8
20230054,6,0,14,16,17,8,16,18,19,15,16,16,20,0
20230055,5,16,19,10,8,15,8,15,17,17,13,2,0,15
20230056,0,3,7,20,8,18,8,0,0,9,6,7,3,0
20230057,20,20,3,9,13,11,20,5,2,0,2,9,14,17
20230058,12,3,2,5,11,10,1,17,15,20,10,7,5,1
20230059,14,4,5,2,11,2,4,5,6,14,5,10,12,11
20230060,7,6,2,20,2,19,5,10,0,12,8,6,8,4
20230061,4,12,10,0,17,15,17,12,6,12,7,16,1,20
20230062,17,14,6,3,7,14,4,4,8,15,20,12,1,5
20230063,9,3,14,4,18,8,13,1,10,17,5,20,0,14
20230064,4,10,0,13,5,9,0,12,18,18,0,15,2,10
20230065,13,17,15,4,9,19,2,5,0,3,10,6,12,17
20230066,4,5,13,18,15,9,7,15,13,3,9,15,19,3
20230067,2,0,15,13,5,3,8,7,3,15,11,6,15,14
20230068,5,17,10,10,13,10,6,14,14,14,14,19,18,17
20230069,9,9,6,2,6,0,20,13,11,14,20,1,19,0
20230070,1,0,20,18,7,0,17,13,11,5,16,7,14,14
20230071,1,11,20,18,16,13,8,4,19,16,10,5,17,9
20230072,10,19,18,19,15,12,1,6,17,19,15,4,6,10
20230073,13,8,16,17,6,6,6,8,5,13,0,17,19,14
20230074,11,8,1,6,15,19,4,20,6,13,5,16,16,14
20230075,14,12,17,17,16,6,2,20,7,8,12,9,6,19
20230076,0,1,8,3,4,13,9,0,9,3,13,12,20,14
20230077,5,0,18,16,15,20,6,11,10,17,15,7,10,11
20230078,6,16,11,16,14,13,20,0,10,7,12,3,19,8
20230079,2,17,20,11,9,13,0,10,9,15,4,6,6,13
20230080,14,15,13,4,20,13,18,15,10,11,7,5,7,12
20230081,10,0,10,3,17,9,11,13,19,5,7,16,17,17
20230082,13,20,6,10,1,2,10,11,4,5,16,17,17,2
20230083,12,9,17,10,7,9,15,13,3,7,11,5,13,4
20230084,4,19,20,18,13,13,17,1,17,11,9,12,14,10
20230085,15,18,13,7,18,19,20,11,14,6,20,9,13,17
20230086,17,12,1,10,10,3,19,8,11,20,4,11,6,18
20230087,0,3,8,13,0,14,6,8,4,2,16,19,13,5
20230088,8,16,5,2,6,19,12,7,16,10,16,16,9,11
20230089,3,19,8,6,12,20,6,8,17,8,12,6,10,13
20230090,14,12,7,3,9,17,13,10,14,9,1,19,17,16
20230091,5,19,18,12,7,0,6,13,0,6,6,1,8,3
20230092,8,1,12,3,10,19,20,18,13,4,19,5,7,6
20230093,19,0,11,13,11,12,12,19,6,16,17,8,10,16
20230094,1,13,11,19,19,2,19,10,2,12,11,16,14,4
20230095,12,3,11,13,17,10,12,8,3,20,18,8,7,13
20230096,17,10,4,6,10,13,19,14,20,17,13,20,6,18
20230097,13,4,14,0,17,8,1,15,9,2,9,7,11,18
20230098,19,17,14,9,6,11,5,4,11,20,14,5,18,16
20230099,11,2,10,20,10,1,19,12,10,18,14,2,15,17
20230100,17,19,3,17,7,13,1,13,7,4,5,18,0,3
20230101,20,20,20,5,12,16,17,2,8,16,2,3,1,10
20230102,7,18,16,3,20,13,20,11,2,18,0,18,4,16
20230103,1,4,19,6,4,20,4,13,20,0,4,9,20,17
20230104,1,19,1,4,4,5,16,18,16,1,15,14,16,4
20230105,20,20,11,11,4,12,5,11,16,0,13,2,18,15
20230106,18,1,1,19,13,11,16,11,10,5,20,1,10,11
20230107,14,5,14,17,14,18,9,14,3,3,20,15,11,4
20230108,1,4,9,19,8,17,13,14,14,5,14,10,17,7
20230109,4,7,20,15,3,20,19,2,13,3,5,8,11,7
20230110,18,1,9,11,6,11,2,3,16,18,3,10,18,4
20230111,7,14,18,19,1,5,6,0,9,11,15,3,5,16
20230112,16,15,20,6,16,20,9,15,11,17,17,12,19,19
20230113,3,19,4,2,1,0,1,14,2,10,12,9,13,3
20230114,11,2,7,3,6,17,5,12,3,14,4,20,1,5
20230115,12,3,12,2,2,18,20,19,9,5,2,11,3,3
20230116,18,3,4,5,13,19,15,20,4,17,20,13,11,14
20230117,7,15,0,14,2,0,7,2,11,16,3,12,20,6
20230118,15,18,3,20,15,13,1,17,17,4,18,7,15,7
20230119,19,12,5,0,15,7,15,0,9,3,9,1,3,19
20230120,18,8,19,9,20,4,2,13,4,16,1,2,18,10
20230121,16,19,19,2,6,5,14,17,5,7,10,4,2,6
20230122,3,5,7,1,11,16,16,12,15,8,20,5,7,5
20230123,1,18,2,7,0,8,5,5,5,8,1,14,20,19
20230124,0,3,0,13,9,5,8,19,2,13,8,5,8,7
20230125,0,16,8,20,18,1,3,1,8,16,11,4,13,5
20230126,8,10,5,3,12,2,1,14,20,8,6,6,13,14
20230127,8,11,20,11,13,3,12,8,12,7,17,19,6,1
20230128,0,6,8,5,14,19,16,10,0,7,17,19,0,13
20230129,7,15,10,10,4,3,1,9,12,6,4,17,13,17
