codigo,parcial
20230001,5
20230002,13
20230003,9
20230004,2
20230005,17
20230006,9
20230007,6
20230008,11
20230009,7
20230010,20
20230011,8
20230012,11
20230013,17
20230014,4
20230015,19
20230016,18
20230017,10
20230018,0
20230019,1
20230020,10
20230021,15
20230022,10
20230023,15
20230024,12
20230025,13
20230026,1
20230027,9
20230028,3
20230029,5
20230030,1
20230031,15
20230032,6
20230033,6
20230034,5
20230035,10
20230036,6
20230037,11
20230038,5
20230039,11
20230040,13
20230041,10
20230042,11
20230043,4
20230044,18
20230045,10
20230046,16
20230047,8
20230048,1
20230049,16
20230050,4
20230051,0
20230052,20
20230053,8
20230054,1
20230055,15
20230056,2
20230057,17
20230058,0
20230059,0
20230060,5
20230061,2
20230062,18
20230063,4
20230064,11
20230065,11
20230066,12
20230067,12
20230068,16
20230069,9
20230070,17
20230071,15
20230072,4
20230073,0
20230074,20
20230075,19
20230076,17
20230077,4
20230078,14
20230079,0
20230080,20
20230081,6
20230082,14
20230083,8
20230084,13
20230085,20
20230086,7
20230087,2
20230088,3
20230089,4
20230090,14
20230091,4
20230092,13
20230093,7
20230094,19
20230095,19
20230096,4
20230097,1
20230098,13
20230099,7
20230100,0
20230101,19
20230102,3
20230103,14
20230104,13
20230105,15
20230106,11
20230107,16
20230108,9
20230109,4
20230110,18
20230111,7
20230112,0
20230113,6
20230114,20
20230115,10
20230116,12
20230117,7
20230118,20
20230119,19
20230120,19
20230121,11
20230122,11
20230123,2
20230124,8
20230125,10
20230126,17
20230127,5
20230128,18
20230129,15
20230130,17
20230131,16
20230132,16
20230133,16
20230134,1
20230135,18
20230136,13
20230137,20
20230138,9
20230139,16
20230140,2
20230141,17
20230142,16
20230143,2
20230144,14
20230145,4
20230146,11
20230147,17
20230148,6
20230149,18
20230150,13
20230151,8
20230152,17
20230153,2
20230154,10
20230155,9
20230156,8
20230157,19
20230158,2
20230159,7
20230160,3
20230161,9
20230162,19
20230163,14
20230164,0
20230165,4
20230166,3
20230167,11
20230168,2
20230169,19
20230170,12
20230171,6
20230172,18
20230173,16
20230174,14
20230175,3
20230176,4
20230177,6
20230178,10
20230179,13
20230180,16
20230181,18
20230182,18
20230183,0
20230184,3
20230185,10
20230186,0
20230187,4
20230188,9
20230189,15
20230190,4
20230191,4
20230192,12
20230193,0
20230194,18
20230195,18
20230196,10
20230197,2
20230198,20
20230199,14
20230200,2
