codigo,parcial
20230001,3
20230002,18
20230003,18
20230004,8
20230005,12
20230006,13
20230007,0
20230008,12
20230009,17
20230010,9
20230011,5
20230012,0
20230013,13
20230014,12
20230015,11
20230016,11
20230017,17
20230018,18
20230019,6
20230020,11
20230021,12
20230022,18
20230023,18
20230024,13
20230025,13
20230026,2
20230027,18
20230028,16
20230029,19
20230030,10
20230031,2
20230032,20
20230033,14
20230034,14
20230035,20
20230036,6
20230037,17
20230038,12
20230039,6
20230040,10
20230041,10
20230042,6
20230043,16
20230044,13
20230045,9
20230046,15
20230047,12
20230048,10
20230049,7
20230050,16
20230051,20
20230052,16
20230053,18
20230054,19
20230055,19
20230056,18
20230057,20
20230058,7
20230059,18
20230060,20
20230061,16
20230062,14
20230063,4
20230064,2
20230065,3
20230066,19
20230067,1
20230068,20
20230069,18
20230070,14
20230071,2
20230072,4
20230073,14
20230074,14
20230075,13
20230076,17
20230077,7
20230078,3
20230079,4
20230080,5
20230081,6
20230082,20
20230083,9
20230084,9
20230085,16
20230086,15
20230087,20
20230088,17
20230089,15
20230090,9
20230091,12
20230092,9
20230093,17
20230094,20
20230095,17
20230096,9
20230097,17
20230098,3
20230099,2
20230100,11
20230101,10
20230102,10
20230103,9
20230104,15
20230105,13
20230106,12
20230107,9
20230108,8
20230109,13
20230110,6
20230111,9
20230112,14
20230113,13
20230114,4
20230115,15
20230116,0
20230117,12
20230118,12
20230119,9
20230120,11
20230121,4
20230122,4
20230123,8
20230124,8
20230125,14
20230126,5
20230127,15
20230128,3
20230129,12
20230130,14
20230131,8
20230132,11
20230133,19
20230134,18
20230135,10
20230136,11
20230137,8
20230138,6
20230139,13
20230140,8
20230141,4
20230142,12
20230143,6
20230144,8
20230145,17
20230146,8
20230147,0
20230148,14
20230149,2
20230150,3
20230151,14
20230152,6
20230153,14
20230154,3
20230155,20
20230156,19
20230157,18
20230158,19
20230159,9
20230160,19
20230161,7
20230162,13
20230163,0
20230164,12
20230165,20
20230166,12
20230167,11
20230168,0
20230169,15
20230170,16
20230171,12
20230172,13
20230173,10
20230174,16
20230175,18
20230176,18
20230177,18
20230178,7
20230179,8
20230180,12
20230181,2
20230182,18
20230183,5
20230184,4
20230185,18
20230186,20
20230187,11
20230188,11
20230189,13
20230190,11
20230191,8
20230192,2
20230193,13
20230194,6
20230195,18
20230196,2
20230197,1
20230198,7
20230199,8
20230200,12
